GENESIS-Tabelle: 12411-0018
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2018;01001;Flensburg, kreisfreie Stadt;1345;1173;1571;1870;1203;1123;4056;4423;3317;2607;2467;2732;3407;3030;2421;4004;3850;1284;1159;1544;1741;1038;1078;4502;3634;2521;2355;2282;2711;3255;3027;2640;4521;5613
31.12.2018;01002;Kiel, kreisfreie Stadt;3593;3211;4033;4917;3092;2645;10507;12293;10173;7961;6875;7729;9207;8016;6507;10094;9713;3454;3150;3782;4650;2743;2787;11495;12195;9633;8057;6816;7518;9125;8382;7033;11472;14690
31.12.2018;01003;Lübeck, kreisfreie Stadt;2997;2866;3570;4599;2748;2310;6839;7629;7321;6484;5931;7156;8705;7781;6279;10302;10854;2829;2565;3412;4415;2686;2180;6926;7385;6731;6586;6198;7222;8985;8418;7047;12308;16934
31.12.2018;01004;Neumünster, kreisfreie Stadt;1098;1096;1466;1899;1226;995;2456;2674;2571;2365;2202;2676;3338;3026;2410;3838;3905;984;1024;1328;1808;1107;947;2162;2493;2315;2211;2162;2683;3205;3055;2553;4343;5866
31.12.2018;01051;Dithmarschen, Landkreis;1655;1612;2306;3088;2131;1588;3870;3695;3412;3387;3461;4596;5802;5447;4611;7822;7237;1594;1604;2163;2949;2048;1443;3504;3138;3258;3361;3475;4613;5894;5654;4889;8072;9831
31.12.2018;01053;Herzogtum Lauenburg, Landkreis;2943;2870;3734;4924;3203;2270;4919;4915;5489;5780;5692;6818;9243;8107;6309;9555;10110;2834;2682;3493;4671;2973;2010;4101;4625;5443;6038;5993;7115;9184;8254;6522;10366;14079
31.12.2018;01054;Nordfriesland, Landkreis;2181;2082;2756;3811;2617;1984;4747;5020;4664;4330;4214;5552;7215;6563;5463;9167;8733;1976;1945;2543;3610;2592;1804;4063;4211;4230;4408;4472;5795;7596;7057;5993;10063;12050
31.12.2018;01055;Ostholstein, Landkreis;2160;2223;3215;4284;2859;2099;4698;4748;4683;4937;5011;6716;8911;8320;7091;12510;12300;2246;2162;3141;4057;2784;1853;3923;4334;4594;5431;5495;7200;9344;9040;7849;13573;16790
31.12.2018;01056;Pinneberg, Landkreis;4611;4491;5913;7705;4764;3425;8540;8480;8950;9370;9396;11347;14350;12661;9602;14860;15746;4373;4253;5628;7299;4600;3124;7498;7587;8665;9813;9690;11369;14579;12738;10067;17043;21854
31.12.2018;01057;Plön, Landkreis;1625;1636;2153;3000;2069;1450;3055;2786;2950;3134;3358;4351;5979;5445;4357;7470;7714;1528;1560;2172;2970;1800;1321;2561;2643;3004;3470;3546;4750;6065;5679;4619;8252;10175
31.12.2018;01058;Rendsburg-Eckernförde, Landkreis;3606;3714;4995;6792;4517;3317;7035;6555;6909;7214;7438;9689;12757;11267;9064;14866;14374;3404;3467;4773;6469;4223;2962;5819;6142;6854;7678;7748;10049;13082;11634;9469;15812;19081
31.12.2018;01059;Schleswig-Flensburg, Landkreis;2835;2734;3780;4990;3186;2453;5045;5221;5326;5269;5351;6907;9081;8309;6635;11277;10693;2577;2630;3454;4628;3068;2150;4318;4859;5188;5394;5562;6928;9254;8296;6895;11827;13905
31.12.2018;01060;Segeberg, Landkreis;3893;3877;5333;6745;4299;3146;7350;7504;8233;8536;8407;9839;12938;11095;8443;13479;13400;3708;3747;4964;6293;4091;2714;6182;6766;7878;8780;8513;10003;12692;10996;9016;15110;18062
31.12.2018;01061;Steinburg, Landkreis;1721;1712;2341;3066;2084;1569;3562;3596;3654;3488;3421;4752;6257;5805;4524;6739;6632;1690;1689;2160;2917;1976;1425;2975;3239;3510;3436;3606;4712;6344;5845;4388;7195;9317
31.12.2018;01062;Stormarn, Landkreis;3328;3554;4827;6115;3728;2694;6007;5425;6138;7214;7422;8699;11334;9779;7447;12061;13059;3214;3425;4511;5785;3581;2553;4928;5028;6404;7818;7593;9021;11587;9867;7930;13325;17795
31.12.2018;02000;Hamburg, kreisfreie Stadt;31582;28135;33612;40832;23642;18038;56857;72834;76731;70338;62204;63271;72899;60715;45973;71402;72983;29945;26975;31645;37897;22197;16496;55629;75178;77244;70906;61001;61811;70495;61090;48752;82998;108872
31.12.2018;03101;Braunschweig, kreisfreie Stadt;3448;3093;3963;4960;3031;2472;9098;11621;10263;8525;7210;8126;9635;8486;6971;10590;11493;3392;3097;3758;4676;2878;2293;8232;9674;8808;7928;7150;7848;9285;8694;7510;12554;17530
31.12.2018;03102;Salzgitter, kreisfreie Stadt;1818;1610;2115;2639;1554;1219;3353;3382;3256;3127;2937;3212;4155;4027;3347;5268;5183;1700;1515;1930;2353;1517;1101;2902;2925;2884;2894;2791;3319;4040;3931;3503;5871;7570
31.12.2018;03103;Wolfsburg, kreisfreie Stadt;2040;1910;2324;2661;1671;1141;3391;4588;4773;4415;3782;3934;4767;4627;3763;5495;6538;1942;1755;2115;2493;1565;1033;2904;4010;4252;4093;3458;3934;4647;4625;3963;6260;9282
